"iso","rcp","ssp","model","period","year_center","TT","flextotal","rawtotal","f2mort","f2total"
"CAN","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-59.64855412051,-48.8054721220363,NA,NA
"CCK","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-24.3173389997231,-3.31380360127112,NA,NA
"CCK","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-25.0267777481123,-8.45850306538893,NA,NA
"CCK","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-23.8626957179093,-11.2009221741935,NA,NA
"CCK","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-22.343118364627,-11.1165916017409,NA,NA
"CCK","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-21.242975453081,-11.2354827029311,NA,NA
"CHE","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-29.7725972139096,-10.490673073853,NA,NA
"CHE","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-27.5199894580565,-17.7675433119411,NA,NA
"CHE","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-24.4022938577772,-16.6658407297067,NA,NA
"CHE","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-22.0327833774858,-12.425736935472,NA,NA
"CHE","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-20.9464021329066,-7.73287177708659,NA,NA
"CHL","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,1.69688368348665,-5.41382642900603,NA,NA
"CHL","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,2.20762116400503,-5.19700423210079,NA,NA
"CHL","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,2.44318089848132,-1.03362487564694,NA,NA
"CHL","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,2.47792956040296,5.25503083056902,NA,NA
"CHL","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,2.40637423017423,9.28875349450106,NA,NA
"CHN","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,10.3140964621751,0.675295799456743,NA,NA
"CHN","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,11.3901404030823,5.34914439969116,NA,NA
"CHN","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,11.9645192289966,10.3005555446905,NA,NA
"CHN","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,12.0402164968239,12.3067260487419,NA,NA
"CHN","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,11.8324109207288,14.1481738520882,-6.4,3.4
